title,gross_revenue,n_theaters,opening_revenue,release_date,wiki_page,page_created_date
Spider-Man: No Way Home,"$804,793,477","4,336","$260,138,569",2021-12-17,Spider-Man:_No_Way_Home,2016-11-10
Shang-Chi and the Legend of the Ten Rings,"$224,543,292","4,300","$75,388,688",2021-09-03,Shang-Chi_and_the_Legend_of_the_Ten_Rings,2018-12-03
Venom: Let There Be Carnage,"$213,550,366","4,225","$90,033,210",2021-10-01,Venom:_Let_There_Be_Carnage,2018-11-23
Black Widow,"$183,651,655","4,160","$80,366,312",2021-07-09,Black_Widow_(2021_film),2012-10-30
Eternals,"$164,870,234","4,090","$71,297,219",2021-11-05,Eternals_(film),2018-04-23
Sing 2,"$162,790,990","3,892","$22,326,230",2021-12-22,Sing_2,2017-01-26
No Time to Die,"$160,891,007","4,407","$55,225,007",2021-10-08,No_Time_to_Die,2012-12-27
A Quiet Place Part II,"$160,072,261","3,726","$47,547,231",2021-05-28,A_Quiet_Place_Part_II,2018-11-25
Ghostbusters: Afterlife,"$129,360,575","4,315","$44,008,406",2021-11-19,Ghostbusters:_Afterlife,2019-01-18
Free Guy,"$121,626,598","4,165","$28,365,416",2021-08-13,Free_Guy,2019-03-11
Jungle Cruise,"$116,987,516","4,310","$35,018,731",2021-07-30,Jungle_Cruise_(film),2005-05-06
Dune,"$108,327,830","4,125","$41,011,174",2021-10-22,Dune_(2021_film),2016-12-22
Godzilla vs. Kong,"$100,916,094","3,064","$31,625,971",2021-03-31,Godzilla_vs._Kong,2015-09-13
Encanto,"$96,093,622","3,980","$27,206,494",2021-11-24,Encanto,2020-01-30
Halloween Kills,"$92,002,155","3,705","$49,404,980",2021-10-15,Halloween_Kills,2019-07-24
Cruella,"$86,103,234","3,892","$21,496,997",2021-05-28,Cruella_(film),2016-01-07
Space Jam: A New Legacy,"$70,592,228","3,965","$31,053,362",2021-07-16,Space_Jam:_A_New_Legacy,2018-08-03
The Conjuring: The Devil Made Me Do It,"$65,631,050","3,102","$24,104,332",2021-06-04,The_Conjuring:_The_Devil_Made_Me_Do_It,2018-11-28
Candyman,"$61,186,570","3,569","$22,001,750",2021-08-27,Candyman_(short_film),2021-09-22
The Addams Family 2,"$56,489,153","4,207","$17,325,007",2021-10-01,The_Addams_Family_2,2020-03-10
The Suicide Squad,"$55,817,425","4,002","$26,205,415",2021-08-06,The_Suicide_Squad_(film),2016-03-03
Raya and the Last Dragon,"$54,723,032","2,045","$8,502,498",2021-03-05,Raya_and_the_Last_Dragon,2018-05-26
House of Gucci,"$53,809,574","3,477","$14,423,794",2021-11-24,House_of_Gucci,2019-11-01
Clifford the Big Red Dog,"$48,947,356","3,700","$16,627,491",2021-11-10,Clifford_the_Big_Red_Dog_(film),2014-10-20
Old,"$48,276,510","3,355","$16,854,735",2021-07-23,Old_(film),2020-06-22
Tom & Jerry,"$46,536,687","2,475","$14,112,629",2021-02-26,Tom_%26_Jerry_(2021_film),2018-10-16
The Forever Purge,"$44,539,245","3,051","$12,551,220",2021-07-02,The_Forever_Purge,2019-09-18
Mortal Kombat,"$42,326,031","3,073","$23,302,503",2021-04-23,Mortal_Kombat_(2021_film),2019-07-29
